Grupo de Opções;Sabor / Adicional;Descrição;Preço (R$);Disponível
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"22. Havaiana";"Molho de tomate caseiro, mussarela, lombo canadense, abacaxi e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"FLORESTA NEGRA";"Chocolate preto e cerejas.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"12. Calabresa com cebola";"Molho de tomate caseiro, mussarela, calabresa, cebola e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"GAÚCHA";"Molho de tomate caseiro, mussarela, filé, cebola, pimentão, tomate, barbecue e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"13. Calabresa especial";"Molho de tomate caseiro, mussarela, calabresa, cebola, catupiry e ovos.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"39. Coração";"Molho de tomate caseiro, mussarela, coração, cebola e catupiry.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"30. Napolitana";"Molho de tomate caseiro, mussarela, tomate, provolone e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"57. 5 Queijos";"Molho de tomate caseiro, mussarela, provolone, parmesão, catupiry, cheddar e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"24. La torre";"Molho de tomate caseiro, mussarela, lombo canadense, palmito e creme de leite.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"17. Crocante";"Molho de tomate caseiro, mussarela, bacon, batata palha e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"49. Moda da casa";"Molho de tomate caseiro, mussarela, frango, palmito, bacon, milho, azeitona, catupiry e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"6. Brócolis com bacon e catupiry";"Molho de tomate caseiro, mussarela, brócolis, bacon e catupiry";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"3. Americana";"Molho de tomate caseiro, mussarela, milho, bacon, ovos e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"LA CANTINA";"Molho de tomate caseiro, mussarela, tomate seco, manjericão, champignon, azeitonas pretas e orégano.";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"10. Bauru";"Molho de tomate caseiro, mussarela, presunto, tomate e orégano.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"51. Pepperoni";"Molho de tomate caseiro, mussarela, pepperoni e orégano. ";"8,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"21. Fricasse";"Molho de tomate caseiro, mussarela, frango, milho, creme de leite e batata palha.";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"5. Brócolis com bacon";"Molho de tomate caseiro, mussarela, brócolis, bacon, tomate, alho frito e orégano. ";"0,00";"Sim"
"[GRUPO] Escolha até 4 sabores da Pizza Familia";"9. Baiana";"Molho de tomate caseiro, mussarela, calabresa, cebola, pimenta calabresa, azeitonas verde e orégano.";"0,00";"Sim"
